"Parcel" "x" "y"
"179" 179 4417540.35535202 5334466.69673893
"180" 180 4417585.23223075 5334463.56677404
"181" 181 4417629.75960107 5334460.39441647
"182" 182 4417668.86132755 5334456.40871634
"183" 183 4417708.1751267 5334455.82003734
"184" 184 4417745.53028138 5334455.5107718
"185" 185 4417771.57338667 5334449.04464333
"186" 186 4417791.65516 5334438.72629
"187" 187 4417785.44442 5334368.8127
"188" 188 4417771.50675597 5334403.50308328
"189" 189 4417736.1331038 5334409.21959085
"190" 190 4417698.41939222 5334420.17689227
"191" 191 4417656.43510421 5334424.34152398
"192" 192 4417611.31106902 5334431.16741669
"193" 193 4417559.11812365 5334433.56333142
"194" 194 4417510.34253252 5334435.46981998
"195" 195 4417476.13833667 5334435.51071896
"196" 196 4417439.20737672 5334430.05503488
"197" 197 4417397.59584135 5334430.63100312
"198" 198 4417352.36620746 5334434.06545307
"199" 199 4417314.34401673 5334424.95473236
"200" 200 4417277.11537293 5334434.37795588
"201" 201 4417241.36606 5334425.195
"202" 202 4417226.78156 5334375.93432
"203" 203 4417252.12889449 5334400.83089247
"204" 204 4417289.88877771 5334396.77551643
"205" 205 4417331.9131453 5334391.73248745
"206" 206 4417374.98958491 5334397.97538659
"207" 207 4417414.78954441 5334391.04237459
"208" 208 4417453.60595305 5334388.01494035
"209" 209 4417486.59472265 5334397.86669895
"210" 210 4417533.95637603 5334407.33823443
"211" 211 4417586.61008126 5334403.9759057
"212" 212 4417631.60683643 5334394.43228491
"213" 213 4417680.75679188 5334384.60307972
"214" 214 4417719.32873838 5334374.82637823
"215" 215 4417753.93817571 5334355.428979
"216" 216 4417785.30887667 5334345.55246667
"217" 217 4417806.72626 5334334.65709
"218" 218 4417816.19874 5334306.99187
"219" 219 4417791.80998059 5334320.5771797
"220" 220 4417745.14306836 5334325.95888451
"221" 221 4417706.87067536 5334337.01836655
"222" 222 4417683.32239667 5334341.46841333
"223" 223 4417655.42921634 5334357.99565109
"224" 224 4417605.55044056 5334369.31456806
"225" 225 4417559.63695811 5334379.92121213
"226" 226 4417516.82447997 5334377.39383818
"227" 227 4417480.98149948 5334358.60999715
"228" 228 4417433.78809818 5334356.31631248
"229" 229 4417390.45025714 5334365.42387651
"230" 230 4417354.92672162 5334363.26913538
"231" 231 4417312.25798405 5334365.58980221
"232" 232 4417263.8459863 5334362.135816
"233" 233 4417235.70095668 5334364.96739748
"234" 234 4417211.64728 5334370.14983
"235" 235 4417212.67189 5334316.50652
"236" 236 4417228.50761963 5334333.93712311
"237" 237 4417270.47269963 5334336.58338211
"238" 238 4417303.42161 5334345.07239667
"239" 239 4417336.93355319 5334330.83390985
"240" 240 4417374.48690576 5334327.15080479
"241" 241 4417414.09867412 5334331.46819146
"242" 242 4417461.19005575 5334327.24971646
"243" 243 4417506.64648358 5334334.02529625
"244" 244 4417546.70500659 5334333.77175404
"245" 245 4417593.46091753 5334324.39816934
"246" 246 4417635.92727378 5334322.5463027
"247" 247 4417673.82086176 5334316.13541981
"248" 248 4417710.26399946 5334301.48692106
"249" 249 4417747.22774832 5334293.35811046
"250" 250 4417792.34754043 5334288.07609384
"251" 251 4417817.32854 5334270.96977
"252" 252 4417836.15935 5334244.76354
"253" 253 4417797.50043624 5334261.51737375
"254" 254 4417747.86562001 5334259.03462276
"255" 255 4417706.83427375 5334265.64090034
"256" 256 4417670.38945306 5334277.86855545
"257" 257 4417639.90311823 5334280.77352036
"258" 258 4417596.3935723 5334283.04389861
"259" 259 4417545.07648157 5334286.78684646
"260" 260 4417504.50373649 5334292.83935941
"261" 261 4417457.34080586 5334297.92712523
"262" 262 4417417.67326971 5334295.59479705
"263" 263 4417384.7662667 5334296.80022328
"264" 264 4417331.20378398 5334305.30013391
"265" 265 4417294.95280769 5334307.38365963
"266" 266 4417253.93396251 5334304.50807786
"267" 267 4417216.86734 5334301.90879667
"268" 268 4417193.56582 5334297.5367
"269" 269 4417180.28196 5334263.79256
"270" 270 4417208.41705368 5334281.13020076
"271" 271 4417253.81155196 5334276.45604842
"272" 272 4417297.53597351 5334273.08180773
"273" 273 4417335.09961426 5334274.44610385
"274" 274 4417375.66448525 5334265.7850479
"275" 275 4417418.482184 5334264.05445604
"276" 276 4417461.29589353 5334263.99970089
"277" 277 4417501.40113379 5334257.23709596
"278" 278 4417545.05626706 5334257.89559628
"279" 279 4417591.85263454 5334260.25819992
"280" 280 4417628.06918805 5334248.52085517
"281" 281 4417659.54021932 5334235.16092556
"282" 282 4417699.27956731 5334231.27941349
"283" 283 4417751.00043224 5334229.94488059
"284" 284 4417797.98868126 5334233.97938879
"285" 285 4417828.09625333 5334223.6283
"286" 286 4417843.74763 5334210.99081
"287" 287 4417860.34279 5334172.09733
"288" 288 4417834.99259852 5334191.35426247
"289" 289 4417801.39829336 5334191.69124873
"290" 290 4417753.9331901 5334201.41665487
"291" 291 4417705.00627698 5334200.89042864
"292" 292 4417675.15887 5334195.14714333
"293" 293 4417640.46644222 5334203.88899137
"294" 294 4417604.11239545 5334212.41651855
"295" 295 4417565.82751238 5334220.88846024
"296" 296 4417522.9597761 5334219.74681127
"297" 297 4417479.50528773 5334222.65430988
"298" 298 4417437.16629702 5334227.92291343
"299" 299 4417396.37401753 5334228.9984372
"300" 300 4417348.85060767 5334232.03454819
"301" 301 4417309.0301163 5334232.84682056
"302" 302 4417272.22249431 5334239.59849432
"303" 303 4417228.57483971 5334246.27538085
"304" 304 4417186.91288504 5334244.87238647
"305" 305 4417156.86457 5334224.50309
"306" 306 4417156.86457 5334224.50309
"307" 307 4417156.86457 5334224.50309
"308" 308 4417194.32493 5334225.47751
"309" 309 4417238.02167 5334227.71897
"310" 310 4417280.27124 5334217.29474
"311" 311 4417312.08901 5334211.85121
"312" 312 4417358.78648 5334217.74599
"313" 313 4417402.01717 5334206.45577
"314" 314 4417445.53052 5334208.42093
"315" 315 4417486.69272 5334202.84298
"316" 316 4417529.9487 5334193.84274
"317" 317 4417575.85107 5334199.37926
"318" 318 4417610.63027 5334187.11439
"319" 319 4417656.28891 5334188.30443
"320" 320 4417698.94013 5334182.62262
"321" 321 4417742.0927 5334192.09394
"322" 322 4417788.523 5334176.41846
"323" 323 4417836.85138 5334163.31884
"324" 324 4417860.34279 5334172.09733
