"Parcel" "box1" "box2" "Subparcel"
"252" 252 51 52 "252_1"
"253" 253 50 51 "253_1"
"2531" 253 51 52 "253_2"
"2532" 253 52 53 "253_3"
"2533" 253 53 50 "253_4"
"254" 254 49 50 "254_1"
"2541" 254 50 53 "254_2"
"2542" 254 53 54 "254_3"
"2543" 254 54 49 "254_4"
"255" 255 48 49 "255_1"
"2551" 255 49 54 "255_2"
"2552" 255 54 55 "255_3"
"2553" 255 55 48 "255_4"
"256" 256 47 48 "256_1"
"2561" 256 48 55 "256_2"
"2562" 256 55 56 "256_3"
"2563" 256 56 47 "256_4"
"257" 257 46 47 "257_1"
"2571" 257 47 56 "257_2"
"2572" 257 56 57 "257_3"
"2573" 257 57 46 "257_4"
"258" 258 45 46 "258_1"
"2581" 258 46 57 "258_2"
"2582" 258 57 58 "258_3"
"2583" 258 58 45 "258_4"
"259" 259 44 45 "259_1"
"2591" 259 45 58 "259_2"
"2592" 259 58 59 "259_3"
"2593" 259 59 44 "259_4"
"260" 260 43 44 "260_1"
"2601" 260 44 59 "260_2"
"2602" 260 59 60 "260_3"
"2603" 260 60 43 "260_4"
"2614" 261 42 43 "261_1"
"2611" 261 43 60 "261_2"
"2612" 261 60 61 "261_3"
"2613" 261 61 42 "261_4"
"2624" 262 41 42 "262_1"
"2621" 262 42 61 "262_2"
"2622" 262 61 62 "262_3"
"2623" 262 62 41 "262_4"
"2634" 263 40 41 "263_1"
"2631" 263 41 62 "263_2"
"2632" 263 62 63 "263_3"
"2633" 263 63 40 "263_4"
"264" 264 39 40 "264_1"
"2641" 264 40 63 "264_2"
"2642" 264 63 64 "264_3"
"2643" 264 64 39 "264_4"
"265" 265 38 39 "265_1"
"2651" 265 39 64 "265_2"
"2652" 265 64 65 "265_3"
"2653" 265 65 38 "265_4"
"266" 266 37 38 "266_1"
"2661" 266 38 65 "266_2"
"2662" 266 65 66 "266_3"
"2663" 266 66 37 "266_4"
"267" 267 36 37 "267_1"
"2671" 267 37 66 "267_2"
"2672" 267 66 36 "267_3"
"268" 268 36 66 "268_1"
"269" 269 35 36 "269_1"
"270" 270 35 34 "270_1"
"2701" 270 34 37 "270_2"
"2702" 270 37 36 "270_3"
"2703" 270 36 35 "270_4"
"271" 271 34 33 "271_1"
"2711" 271 33 38 "271_2"
"2712" 271 38 37 "271_3"
"2713" 271 37 34 "271_4"
"272" 272 33 32 "272_1"
"2721" 272 32 39 "272_2"
"2722" 272 39 38 "272_3"
"2723" 272 38 33 "272_4"
"273" 273 32 31 "273_1"
"2731" 273 31 40 "273_2"
"2732" 273 40 39 "273_3"
"2733" 273 39 32 "273_4"
"274" 274 31 30 "274_1"
"2741" 274 30 41 "274_2"
"2742" 274 41 40 "274_3"
"2743" 274 40 31 "274_4"
"275" 275 30 29 "275_1"
"2751" 275 29 42 "275_2"
"2752" 275 42 41 "275_3"
"2753" 275 41 30 "275_4"
"276" 276 29 28 "276_1"
"2761" 276 28 43 "276_2"
"2762" 276 43 42 "276_3"
"2763" 276 42 29 "276_4"
"277" 277 28 27 "277_1"
"2771" 277 27 44 "277_2"
"2772" 277 44 43 "277_3"
"2773" 277 43 28 "277_4"
"278" 278 27 26 "278_1"
"2781" 278 26 45 "278_2"
"2782" 278 45 44 "278_3"
"2783" 278 44 27 "278_4"
"279" 279 26 25 "279_1"
"2791" 279 25 46 "279_2"
"2792" 279 46 45 "279_3"
"2793" 279 45 26 "279_4"
"280" 280 25 24 "280_1"
"2801" 280 24 47 "280_2"
"2802" 280 47 46 "280_3"
"2803" 280 46 25 "280_4"
"2814" 281 24 23 "281_1"
"2811" 281 23 48 "281_2"
"2812" 281 48 47 "281_3"
"2813" 281 47 24 "281_4"
"2824" 282 23 22 "282_1"
"2821" 282 22 49 "282_2"
"2822" 282 49 48 "282_3"
"2823" 282 48 23 "282_4"
"283" 283 22 21 "283_1"
"2831" 283 21 50 "283_2"
"2832" 283 50 49 "283_3"
"2833" 283 49 22 "283_4"
"284" 284 21 20 "284_1"
"2841" 284 20 51 "284_2"
"2842" 284 51 50 "284_3"
"2843" 284 50 21 "284_4"
"285" 285 20 19 "285_1"
"2851" 285 19 51 "285_2"
"2852" 285 51 20 "285_3"
"286" 286 19 51 "286_1"
"287" 287 18 19 "287_1"
"288" 288 17 18 "288_1"
"2881" 288 18 19 "288_2"
"2882" 288 19 20 "288_3"
"2883" 288 20 17 "288_4"
"289" 289 16 17 "289_1"
"2891" 289 17 20 "289_2"
"2892" 289 20 21 "289_3"
"2893" 289 21 16 "289_4"
"290" 290 15 16 "290_1"
"2901" 290 16 21 "290_2"
"2902" 290 21 22 "290_3"
"2903" 290 22 15 "290_4"
"291" 291 14 15 "291_1"
"2911" 291 15 22 "291_2"
"2912" 291 22 23 "291_3"
"2913" 291 23 14 "291_4"
"292" 292 13 14 "292_1"
"2921" 292 14 23 "292_2"
"2922" 292 23 13 "292_3"
"293" 293 12 13 "293_1"
"2931" 293 13 23 "293_2"
"2932" 293 23 24 "293_3"
"2933" 293 24 12 "293_4"
"294" 294 11 12 "294_1"
"2941" 294 12 24 "294_2"
"2942" 294 24 25 "294_3"
"2943" 294 25 11 "294_4"
"295" 295 10 11 "295_1"
"2951" 295 11 25 "295_2"
"2952" 295 25 26 "295_3"
"2953" 295 26 10 "295_4"
"296" 296 9 10 "296_1"
"2961" 296 10 26 "296_2"
"2962" 296 26 27 "296_3"
"2963" 296 27 9 "296_4"
"297" 297 8 9 "297_1"
"2971" 297 9 27 "297_2"
"2972" 297 27 28 "297_3"
"2973" 297 28 8 "297_4"
"298" 298 7 8 "298_1"
"2981" 298 8 28 "298_2"
"2982" 298 28 29 "298_3"
"2983" 298 29 7 "298_4"
"299" 299 6 7 "299_1"
"2991" 299 7 29 "299_2"
"2992" 299 29 30 "299_3"
"2993" 299 30 6 "299_4"
"300" 300 5 6 "300_1"
"3001" 300 6 30 "300_2"
"3002" 300 30 31 "300_3"
"3003" 300 31 5 "300_4"
"301" 301 4 5 "301_1"
"3011" 301 5 31 "301_2"
"3012" 301 31 32 "301_3"
"3013" 301 32 4 "301_4"
"302" 302 3 4 "302_1"
"3021" 302 4 32 "302_2"
"3022" 302 32 33 "302_3"
"3023" 302 33 3 "302_4"
"303" 303 2 3 "303_1"
"3031" 303 3 33 "303_2"
"3032" 303 33 34 "303_3"
"3033" 303 34 2 "303_4"
"304" 304 1 2 "304_1"
"3041" 304 2 34 "304_2"
"3042" 304 34 35 "304_3"
"3043" 304 35 1 "304_4"
"305" 305 1 35 "305_1"
"306" 306 1 NA "306_1"
"307" 307 1 2 "307_1"
"308" 308 2 3 "308_1"
"309" 309 3 4 "309_1"
"310" 310 4 5 "310_1"
"3111" 311 5 6 "311_1"
"3121" 312 6 7 "312_1"
"3131" 313 7 8 "313_1"
"314" 314 8 9 "314_1"
"315" 315 9 10 "315_1"
"316" 316 10 11 "316_1"
"317" 317 11 12 "317_1"
"318" 318 12 13 "318_1"
"319" 319 13 14 "319_1"
"320" 320 14 15 "320_1"
"3211" 321 15 16 "321_1"
"3221" 322 16 17 "322_1"
"3231" 323 17 18 "323_1"
"324" 324 18 NA "324_1"
