"Parcel" "box1" "box2" "Subparcel"
"703" 70 230 219 "70_4"
"71" 71 218 217 "71_1"
"711" 71 217 232 "71_2"
"712" 71 232 231 "71_3"
"713" 71 231 218 "71_4"
"72" 72 217 216 "72_1"
"721" 72 216 233 "72_2"
"722" 72 233 232 "72_3"
"723" 72 232 217 "72_4"
"73" 73 216 215 "73_1"
"731" 73 215 234 "73_2"
"732" 73 234 233 "73_3"
"733" 73 233 216 "73_4"
"74" 74 215 214 "74_1"
"741" 74 214 235 "74_2"
"742" 74 235 234 "74_3"
"743" 74 234 215 "74_4"
"75" 75 214 235 "75_1"
"76" 76 213 214 "76_1"
"77" 77 212 213 "77_1"
"771" 77 213 214 "77_2"
"772" 77 214 212 "77_3"
"78" 78 211 212 "78_1"
"781" 78 212 214 "78_2"
"782" 78 214 215 "78_3"
"783" 78 215 211 "78_4"
"79" 79 210 211 "79_1"
"791" 79 211 215 "79_2"
"792" 79 215 216 "79_3"
"793" 79 216 210 "79_4"
"80" 80 209 210 "80_1"
"801" 80 210 216 "80_2"
"802" 80 216 217 "80_3"
"803" 80 217 209 "80_4"
"814" 81 208 209 "81_1"
"811" 81 209 217 "81_2"
"812" 81 217 218 "81_3"
"813" 81 218 208 "81_4"
"824" 82 207 208 "82_1"
"821" 82 208 218 "82_2"
"822" 82 218 219 "82_3"
"823" 82 219 207 "82_4"
"834" 83 206 207 "83_1"
"831" 83 207 219 "83_2"
"832" 83 219 220 "83_3"
"833" 83 220 206 "83_4"
"84" 84 205 206 "84_1"
"841" 84 206 220 "84_2"
"842" 84 220 221 "84_3"
"843" 84 221 205 "84_4"
"85" 85 204 205 "85_1"
"851" 85 205 221 "85_2"
"852" 85 221 222 "85_3"
"853" 85 222 204 "85_4"
"86" 86 203 204 "86_1"
"861" 86 204 222 "86_2"
"862" 86 222 223 "86_3"
"863" 86 223 203 "86_4"
"87" 87 202 203 "87_1"
"871" 87 203 223 "87_2"
"872" 87 223 224 "87_3"
"873" 87 224 202 "87_4"
"88" 88 202 224 "88_1"
"89" 89 201 202 "89_1"
"90" 90 201 200 "90_1"
"901" 90 200 203 "90_2"
"902" 90 203 202 "90_3"
"903" 90 202 201 "90_4"
"914" 91 200 199 "91_1"
"911" 91 199 204 "91_2"
"912" 91 204 203 "91_3"
"913" 91 203 200 "91_4"
"924" 92 199 198 "92_1"
"921" 92 198 205 "92_2"
"922" 92 205 204 "92_3"
"923" 92 204 199 "92_4"
"93" 93 198 197 "93_1"
"931" 93 197 206 "93_2"
"932" 93 206 205 "93_3"
"933" 93 205 198 "93_4"
"94" 94 197 196 "94_1"
"941" 94 196 207 "94_2"
"942" 94 207 206 "94_3"
"943" 94 206 197 "94_4"
"95" 95 196 195 "95_1"
"951" 95 195 208 "95_2"
"952" 95 208 207 "95_3"
"953" 95 207 196 "95_4"
"96" 96 195 194 "96_1"
"961" 96 194 209 "96_2"
"962" 96 209 208 "96_3"
"963" 96 208 195 "96_4"
