"","ID","transponder"
"132","B1V5586","BBC741F9C66F0001"
"133","B1V5587","102741F9C66F0001"
"134","B1V5588","81C741F9C66F0001"
"135","B1V5589","96C741F9C66F0001"
"136","B1V5590","95C741F9C66F0001"
"137","B1V5592","57C741F9C66F0001"
"138","B1V5593","EEC741F9C66F0001"
"139","B1V5594","01C741F9C66F0001"
"140","B1V5596","63C741F9C66F0001"
"141","B1V5595","97C741F9C66F0001"
"142","B1V5597","99C741F9C66F0001"
"143","B1V5598","37C741F9C66F0001"
"144","B1V5369","47C741F9C66F0001"
"145","B1V5599","4FC741F9C66F0001"
"146","B1V5600","9FC741F9C66F0001"
"147","B1V5370","FFC741F9C66F0001"
"148","B1P5972","7BC741F9C66F0001"
"149","B1V5371","5BC741F9C66F0001"
"150","B1V5372","8EC741F9C66F0001"
"151","B1V5465","D9C741F9C66F0001"
"152","B1V5375","D42741F9C66F0001"
"153","B1V5374","F5C741F9C66F0001"
"154","B1V5376","1FC741F9C66F0001"
"155","B1V5377","41C741F9C66F0001"
"156","B1P5986","E7C741F9C66F0001"
"157","B1V5378","382741F9C66F0001"
"158","B1V5379","B5C741F9C66F0001"
"159","B1V5380","A42741F9C66F0001"
"160","B1V5381","B9C741F9C66F0001"
"161","B1V5382","59C741F9C66F0001"
"162","B1V5383","5EC741F9C66F0001"
"163","B1V5384","182741F9C66F0001"
"164","B1V5385","EFC741F9C66F0001"
"165","B1V5387","EBC741F9C66F0001"
"166","B1V5386","C02741F9C66F0001"
"167","B1V5388","D96741F9C66F0001"
"168","B1V5389","3B6741F9C66F0001"
"169","B1V5390","73C741F9C66F0001"
"170","B1V5391","442741F9C66F0001"
"171","B1V5393","2BC741F9C66F0001"
"172","B1V5392","7D6741F9C66F0001"
"173","B1V5394","176741F9C66F0001"
"174","B1P5976","B02741F9C66F0001"
"175","B1P5983","642741F9C66F0001"
"176","B1V5395","682741F9C66F0001"
"177","B1V5396","3BC741F9C66F0001"
"178","B1P5985","33C741F9C66F0001"
"179","B1V5397","876741F9C66F0001"
"180","B1V5398","F7C741F9C66F0001"
"181","B1V5400","902741F9C66F0001"
"182","B1V5399","C82741F9C66F0001"
"183","B1V5468","2FC741F9C66F0001"
"184","B1V5469","CBC741F9C66F0001"
"185","B1V5470","C7C741F9C66F0001"
"186","B1V5472","082741F9C66F0001"
"187","B1V5471","E02741F9C66F0001"
"188","B1P5990","002741F9C66F0001"
"189","B1V5473","6BC741F9C66F0001"
"190","B1V5474","202741F9C66F0001"
"191","B1V5475","A36741F9C66F0001"
"192","B1V5477","B3C741F9C66F0001"
"193","B1V5476","31C741F9C66F0001"
"194","B1V5478","29C741F9C66F0001"
"195","B1V5479","D7C741F9C66F0001"
"196","B1P5993","39C741F9C66F0001"
"197","B1P5977","7FC741F9C66F0001"
"198","B1V5481","7DC741F9C66F0001"
"199","B1V5480","3EC741F9C66F0001"
"200","B1V5482","35C741F9C66F0001"
"201","B1V5464","296741F9C66F0001"
"202","B1V5483","09C741F9C66F0001"
"203","B1V5484","E3C741F9C66F0001"
"204","B1P5971","65C741F9C66F0001"
"205","B1V5485","A1C741F9C66F0001"
"206","B1V5486","9DC741F9C66F0001"
"207","B1V5467","51C741F9C66F0001"
"208","B1V5487","19C741F9C66F0001"
"209","B1P5989","17C741F9C66F0001"
"210","B1V5488","2EC741F9C66F0001"
"211","B1V5489","782741F9C66F0001"
"212","B1V5490","9BC741F9C66F0001"
"213","B1V5491","07C741F9C66F0001"
"214","B1V5492","85C741F9C66F0001"
"215","B1V5493","0C2741F9C66F0001"
"216","B1V5494","636741F9C66F0001"
"217","B1V5495","ABC741F9C66F0001"
"218","B1V5496","FEC741F9C66F0001"
"219","B1V5498","142741F9C66F0001"
"220","B1V5499","F1C741F9C66F0001"
"221","B1V5500","E42741F9C66F0001"
"222","B2V8468","8FC741F9C66F0001"
"223","B2V8469","402741F9C66F0001"
"224","B2V8470","E1C741F9C66F0001"
"225","B2V8471","696741F9C66F0001"
"226","B2V8432","77C741F9C66F0001"
"227","B1V5051","0DC741F9C66F0001"
"228","B1V5052","A5C741F9C66F0001"
"229","B1V5052","A2E741F9C66F0001"
"230","B2V8472","52E741F9C66F0001"
"231","B2V8473","50E741F9C66F0001"
"232","B2X3087","F46741F9C66F0001"
"233","B2X3086","566741F9C66F0001"
"234","B2X3085","5A6741F9C66F0001"
"235","B2X3084","506741F9C66F0001"
"236","B2F5606","FA6741F9C66F0001"
"237","B1V5497","DC6741F9C66F0001"
"238","B2X3500","D66741F9C66F0001"
"239","B2X3499","4C6741F9C66F0001"
"240","B2X3498","7BA741F9C66F0001"
"241","B2X3497","226741F9C66F0001"
"242","B2X3083","016741F9C66F0001"
"243","B2X3082","70E741F9C66F0001"
"244","B2X3081","6F6741F9C66F0001"
"245","B2X3496","816741F9C66F0001"
"246","B2X3495","666741F9C66F0001"
"247","B2X3494","066741F9C66F0001"
"248","B2X3492","EA6741F9C66F0001"
"249","B2X3491","366741F9C66F0001"
"250","B1V5051","B2E741F9C66F0001"
"251","B1V5474","946741F9C66F0001"
"252","B1V5372","E46741F9C66F0001"
"253","B2X3080","7C6741F9C66F0001"
"254","B2X3079","616741F9C66F0001"
"255","B2X3078","926741F9C66F0001"
"256","B2X3077","A46741F9C66F0001"
"257","B2X3076","E16741F9C66F0001"
"258","B2X3075","E66741F9C66F0001"
"259","B2X3074","AC6741F9C66F0001"
"260","B2X3073","A26741F9C66F0001"
"261","B2X3072","126741F9C66F0001"
"262","B2X3071","966741F9C66F0001"
"263","B2X3070","726741F9C66F0001"
"264","B2X3069","1A6741F9C66F0001"
"265","B2X3068","5C6741F9C66F0001"
"266","B2F5449","326741F9C66F0001"
"267","B2F5368","6C6741F9C66F0001"
"268","B2F5581","DA6741F9C66F0001"
"269","B1V5591","4E6741F9C66F0001"
"270","B2X3100","386741F9C66F0001"
"271","B2X3067","B7A741F9C66F0001"
"272","B2X3066","3BA741F9C66F0001"
"273","B2X3065","35A741F9C66F0001"
"274","B2X3064","C46741F9C66F0001"
"275","B2X3062","A06741F9C66F0001"
"276","B2X3061","A6A741F9C66F0001"
"277","B2F5648","186741F9C66F0001"
"278","B2F5444","67A741F9C66F0001"
"279","B2X3099","37A741F9C66F0001"
"280","B2X3098","846741F9C66F0001"
"281","B2X3097","586741F9C66F0001"
"282","B2X3096","77A741F9C66F0001"
"283","B2F5618","B06741F9C66F0001"
"284","B1V5574","4BA741F9C66F0001"
"285","B2X3095","626741F9C66F0001"
"286","B2X3094","D46741F9C66F0001"
"287","B2X3093","2F6741F9C66F0001"
"288","B2X3092","14E741F9C66F0001"
"289","B2X3091","E2E741F9C66F0001"
"290","B2X3090","18E741F9C66F0001"
"291","B2X3089","F66741F9C66F0001"
"292","B2V8128","3A6741F9C66F0001"
"293","B2V8308","9C6741F9C66F0001"
"294","B2X3088","F06741F9C66F0001"
"295","B2V8312","58E741F9C66F0001"
"296","B2X3049","1FA741F9C66F0001"
"297","B2X3048","D7A741F9C66F0001"
"298","B2X3047","61A741F9C66F0001"
"299","B2X3046","D86741F9C66F0001"
"300","B2X3490","B5A741F9C66F0001"
"301","B2X3045","FEA741F9C66F0001"
"302","B2X3043","6EA741F9C66F0001"
"303","B2X3042","A22741F9C66F0001"
"304","B2X3041","7A6741F9C66F0001"
"305","B2X3040","81A741F9C66F0001"
"306","B2X3039","3DA741F9C66F0001"
"307","B2X3038","A92741F9C66F0001"
"308","B2X3037","F52741F9C66F0001"
"309","B2X3036","646741F9C66F0001"
"310","B2F5658","9E6741F9C66F0001"
"311","B2X3035","972741F9C66F0001"
"312","B2X3034","372741F9C66F0001"
"313","B2X3033","E86741F9C66F0001"
"314","B2X3032","04A741F9C66F0001"
"315","B2X3931","1AA741F9C66F0001"
"316","B2X3959","9C83C4B43A6F0001"
"317","B2X3958","24CEC4B43A6F0001"
"318","B2X3957","7B0924B43A6F0001"
"319","B2X3956","1FEDC4B43A6F0001"
"320","B2X3086","D1B224B43A6F0001"
"321","B2X3900","D3B524B43A6F0001"
"322","B2X3899","488DC4B43A6F0001"
"323","B2X3898","8B1D24B43A6F0001"
"324","B2X3897","AD99C4B43A6F0001"
"325","B2X3896","19EDC4B43A6F0001"
"326","B2X3897","5DFDC4B43A6F0001"
"327","B2X3086","5005C4B43A6F0001"
"328","B2X3895","983DC4B43A6F0001"
"329","B2X3894","EBE6C4B43A6F0001"
"330","B2X3498","15A524B43A6F0001"
"331","B2X3099","1F4924B43A6F0001"
"332","B2X3960","4FD124B43A6F0001"
"333","B2X3288","B83AC4B43A6F0001"
"334","B2X3026","127524B43A6F0001"
"335","B2X3025","31CEC4B43A6F0001"
"336","B2X3024","FDCD24B43A6F0001"
"337","B2X3022","F11924B43A6F0001"
"338","B2X3021","95F524B43A6F0001"
"339","B2X3099","9C0524B43A6F0001"
"340","B2X3028","3712C4B43A6F0001"
"341","B2X3020","B416C4B43A6F0001"
"342","B2X3438","2AF524B43A6F0001"
"343","B2X3702","03EDC4B43A6F0001"
"344","B2X3701","630DC4B43A6F0001"
"345","B2F5325","657124B43A6F0001"
"346","B2X3621","BB36C4B43A6F0001"
"347","B2X3622","31F524B43A6F0001"
"348","B2X3623","340524B43A6F0001"
"349","B2X3630","DFCD24B43A6F0001"
"350","B2X3631","719EC4B43A6F0001"
"351","B2X3632","E89EC4B43A6F0001"
"352","B2X3633","7276C4B43A6F0001"
"353","B2X3634","F3AD24B43A6F0001"
"354","B2X3026","9DCD24B43A6F0001"
"355","B2X3639","6F2DC4B43A6F0001"
"356","B2X3023","A0E524B43A6F0001"
"357","B2X3640","511924B43A6F0001"
"358","B2X3030","8946C4B43A6F0001"
"359","B2X3641","6D6524B43A6F0001"
"360","B2X3642","FBE524B43A6F0001"
"361","B2X3643","5B0524B43A6F0001"
"362","B2X3644","53D5C4B43A6F0001"
"363","B2X3027","150524B43A6F0001"
"364","B2X3651","AB3DC4B43A6F0001"
"365","B2X3072","1465C4B43A6F0001"
"366","B2X3096","FEED24B43A6F0001"
"367","B2X3960","F5B6C4B43A6F0001"
"368","B2X3652","606924B43A6F0001"
"369","B2X3654","ACDDC4B43A6F0001"
"370","B2X3653","0D8D24B43A6F0001"
"371","B2X3655","0F4924B43A6F0001"
"372","B2X3656","B525C4B43A6F0001"
"373","B2X3663","C416C4B43A6F0001"
"374","B2X3019","2A9DC4B43A6F0001"
"375","B2X4004","7BA924B43A6F0001"
"376","B2X3952","397124B43A6F0001"
"377","B1V5069","9A9DC4B43A6F0001"
"378","B2X3951","CDED24B43A6F0001"
"379","B2A7682","B20DC4B43A6F0001"
"380","B2X3950","296524B43A6F0001"
"381","B2X3831","EA5524B43A6F0001"
"382","B2X4408","FC3DC4B43A6F0001"
"383","B2X3899","5E5524B43A6F0001"
"384","B2X3632","015524B43A6F0001"
"385","B2X4358","1B65C4B43A6F0001"
"386","B2X4426","8983C4B43A6F0001"
"387","B2X3949","06CEC4B43A6F0001"
"388","B2X3948","F119C4B43A6F0001"
"389","B2X3899","27ED24B43A6F0001"
