"year_","box1","box2","no"
2021,136,142,1
2021,136,140,1
2021,136,163,1
2021,138,113,1
2021,138,136,1
2021,138,140,1
2021,138,163,1
2021,138,165,1
2021,142,134,1
2021,142,136,1
2021,142,162,1
2021,142,140,1
2021,142,163,1
2021,145,120,1
2021,145,133,1
2021,145,147,1
2021,145,158,1
2021,145,160,1
2021,147,120,1
2021,147,130,1
2021,147,145,1
2021,147,157,1
2021,147,158,1
2021,150,123,1
2021,150,129,1
2021,150,126,1
2021,150,152,1
2021,150,153,1
2021,150,155,1
2021,150,156,1
2021,150,177,1
2021,126,123,1
2021,152,123,1
2021,153,123,1
2021,126,125,1
2021,152,125,1
2021,153,125,1
2021,126,150,1
2021,152,150,1
2021,153,150,1
2021,126,177,1
2021,152,177,1
2021,153,177,1
2021,155,150,1
2021,155,156,1
2021,155,177,1
2021,155,178,1
2021,155,180,1
2021,156,129,1
2021,156,130,1
2021,156,150,1
2021,156,155,1
2021,156,157,1
2021,156,180,1
2021,157,130,1
2021,157,147,1
2021,157,156,1
2021,157,158,1
2021,157,180,1
2021,157,181,1
2021,157,182,1
2021,158,145,1
2021,158,147,1
2021,158,157,1
2021,158,160,1
2021,158,182,1
2021,160,133,1
2021,160,145,1
2021,160,158,1
2021,160,161,1
2021,160,182,1
2021,160,183,1
2021,160,184,1
2021,161,133,1
2021,161,134,1
2021,161,160,1
2021,161,162,1
2021,161,184,1
2021,161,186,1
2021,162,134,1
2021,162,142,1
2021,162,161,1
2021,162,140,1
2021,162,163,1
2021,162,167,1
2021,162,186,1
2021,140,136,1
2021,163,136,1
2021,140,138,1
2021,163,138,1
2021,140,142,1
2021,163,142,1
2021,140,162,1
2021,163,162,1
2021,140,165,1
2021,163,165,1
2021,140,167,1
2021,163,167,1
2021,165,138,1
2021,165,140,1
2021,165,163,1
2021,165,167,1
2021,165,188,1
2021,165,191,1
2021,167,162,1
2021,167,140,1
2021,167,163,1
2021,167,165,1
2021,167,186,1
2021,167,188,1
2021,167,191,1
2021,177,150,1
2021,177,126,1
2021,177,152,1
2021,177,153,1
2021,177,155,1
2021,177,178,1
2021,178,155,1
2021,178,177,1
2021,178,180,1
2021,178,200,1
2021,178,201,1
2021,180,155,1
2021,180,156,1
2021,180,157,1
2021,180,178,1
2021,180,181,1
2021,180,199,1
2021,180,200,1
2021,181,157,1
2021,181,180,1
2021,181,182,1
2021,181,199,1
2021,181,204,1
2021,181,206,1
2021,182,157,1
2021,182,158,1
2021,182,160,1
2021,182,181,1
2021,182,183,1
2021,182,206,1
2021,183,160,1
2021,183,182,1
2021,183,184,1
2021,183,195,1
2021,183,206,1
2021,184,160,1
2021,184,161,1
2021,184,183,1
2021,184,186,1
2021,184,193,1
2021,184,195,1
2021,186,161,1
2021,186,162,1
2021,186,167,1
2021,186,184,1
2021,186,188,1
2021,186,191,1
2021,186,193,1
2021,186,211,1
2021,188,165,1
2021,191,165,1
2021,188,167,1
2021,191,167,1
2021,188,186,1
2021,191,186,1
2021,188,211,1
2021,191,211,1
2021,188,213,1
2021,191,213,1
2021,193,184,1
2021,193,186,1
2021,193,195,1
2021,193,209,1
2021,193,211,1
2021,195,183,1
2021,195,184,1
2021,195,193,1
2021,195,206,1
2021,195,209,1
2021,195,219,1
2021,195,230,1
2021,199,180,1
2021,199,181,1
2021,199,200,1
2021,199,204,1
2021,200,178,1
2021,200,180,1
2021,200,199,1
2021,200,201,1
2021,200,204,1
2021,200,223,1
2021,200,224,1
2021,201,178,1
2021,201,200,1
2021,201,224,1
2021,204,181,1
2021,204,199,1
2021,204,200,1
2021,204,206,1
2021,204,221,1
2021,204,223,1
2021,204,226,1
2021,204,244,1
2021,206,181,1
2021,206,182,1
2021,206,183,1
2021,206,195,1
2021,206,204,1
2021,206,219,1
2021,206,230,1
2021,206,221,1
2021,206,228,1
2021,209,193,1
2021,209,195,1
2021,209,211,1
2021,209,216,1
2021,209,219,1
2021,209,230,1
2021,209,231,1
2021,211,186,1
2021,211,188,1
2021,211,191,1
2021,211,193,1
2021,211,209,1
2021,211,213,1
2021,211,214,1
2021,211,216,1
2021,213,188,1
2021,213,191,1
2021,213,211,1
