"","ID","sex"
"294","B1V5376",2
"295","B1V5387",1
"296","X01007707",2
"297","B2V8154",1
"298","B2V8155",2
"299","B2V8156",2
"300","B2V8157",2
"301","B2V8158",2
"302","B2V8159",2
"303","B2V8160",2
"304","B2V8161",2
"305","B2V8162",1
"306","B2V8163",2
"307","B2V8164",2
"308","B1V5377",1
"309","X01008107",2
"310","X02008107",2
"311","X04008107",2
"312","X05008107",1
"313","X06008107",1
"314","X07008107",2
"315","B2V8141",2
"316","B2V8142",2
"317","B2V8143",1
"318","B1V5052",1
"319","X01008507",2
"320","X02008507",2
"321","X03008507",1
"322","B2V8428",2
"323","B2V8429",2
"324","B2V8430",1
"325","B2V8431",2
"326","B1V5492",2
"327","B1V5491",1
"328","X01008807",2
"329","X02008807",2
"330","B2V8279",1
"331","B2V8280",1
"332","B2V8281",1
"333","B2V8282",1
"334","B2V8283",1
"335","B2V8284",2
"336","B2V8285",2
"337","B2V8286",2
"338","B2V8287",1
"339","B1V5558",1
"340","B1V5571",2
"341","X01009307",2
"342","B2F5363",1
"343","B2F5364",2
"344","B2F5365",1
"345","B2F5366",1
"346","B2F5367",2
"347","B2F5368",1
"348","B2F5369",1
"349","B2F5370",2
"350","B2F5371",2
"351","B2F5372",2
"352","B2F5373",1
"353","B1V5569",2
"354","B1V5554",1
"355","X01009807",1
"356","X02009807",1
"357","X03009807",2
"358","X04009807",2
"359","X05009807",1
"360","X06009807",2
"361","X07009807",2
"362","X08009807",1
"363","X09009807",1
"364","X10009807",1
"365","X11009807",2
"366","X12009807",2
"367","X13009807",2
"368","X14009807",1
"369","B1V5396",2
"370","B1V5369",1
"371","B2V8165",2
"372","B2V8166",1
"373","B2V8167",2
"374","B2V8168",2
"375","B2V8169",1
"376","B2V8170",2
"377","B2V8171",1
"378","B2V8172",2
"379","B2V8173",1
"380","B2V8174",1
"381","B2V8175",2
"382","B2V8176",2
"383","B1P5977",2
"384","B1V5579",1
"385","B2F5510",1
"386","B2F5511",1
"387","B2F5512",1
"388","B2F5513",2
"389","B2F5514",1
"390","B2F5515",2
"391","B2F5516",1
"392","B2F5517",1
"393","B2F5518",1
"394","B2F5519",1
"395","B1V5487",2
"396","B1V5575",1
"397","B2F5520",1
"398","B2F5521",1
"399","B2F5522",2
"400","B2F5523",1
"401","B2F5524",2
"402","B2F5525",2
"403","B2F5526",1
"404","B2F5527",2
"405","B2F5528",2
"406","B2F5529",1
"407","B2F5530",2
"408","B1V5559",2
"409","B1V5577",1
"410","B2F5354",1
"411","B2F5355",1
"412","B2F5356",1
"413","B2F5357",1
"414","B2F5358",1
"415","B2F5359",1
"416","B2F5360",2
"417","B2F5361",1
"418","B2F5362",1
"419","B1V5484",2
"420","B1V5552",1
"421","B2F5680",1
"422","B2F5681",1
"423","B2F5682",1
"424","B2F5683",2
"425","B2F5684",1
"426","B2F5685",2
"427","B2F5686",1
"428","B2F5687",1
"429","B2F5688",1
"430","B2F5689",1
"431","B2F5690",1
"432","B2F5691",1
"433","B1V5570",2
"434","B1V5551",1
"435","B2F5458",1
"436","B2F5459",1
"437","B2F5460",1
"438","B2F5461",2
"439","B2F5462",2
"440","B2F5463",2
"441","B2F5464",1
"442","B2F5465",1
"443","B2F5466",2
"444","B2F5467",2
"445","B1V5479",2
"446","B1V5596",1
"447","B2F5572",2
"448","B2F5573",1
"449","B2F5574",2
"450","B2F5575",2
"451","B2F5576",1
"452","B2F5577",2
"453","B2F5578",2
"454","B2F5579",2
"455","B2F5580",1
"456","B2F5581",2
"457","B2F5582",2
"458","B2F5583",1
"459","B2V8101",1
"460","B2V8102",2
"461","B2V8401",1
"462","B2V8402",1
"463","B2V8403",2
"464","B2V8404",2
"465","B2V8405",2
"466","B2V8406",1
"467","B2V8407",2
"468","B2V8408",1
"469","B1V5397",2
"470","B1V5595",1
"471","B2V8177",1
"472","B2V8178",1
"473","B2V8179",1
"474","B2V8180",1
"475","B2V8181",1
"476","B2V8182",2
"477","B2V8183",2
"478","B2V8184",2
"479","B2V8185",2
"480","B2V8186",1
"481","B2V8187",2
"482","B2V8188",2
"483","B2V8189",2
"484","X04014007",1
"485","X05014007",2
"486","X08014007",2
"487","X10014007",1
"488","B1V5574",2
"489","B1V5557",1
"490","B2F5344",1
"491","B2F5345",1
"492","B2F5346",1
"493","B2F5347",2
"494","B2F5348",2
"495","B2F5349",2
"496","B2F5350",2
"497","B2F5351",1
"498","B2F5352",2
"499","B2F5353",2
"500","B1V5556",1
"501","B1V5580",2
"502","B2F5333",2
"503","B2F5334",2
"504","B2F5335",2
"505","B2F5336",2
"506","B2F5337",1
"507","B2F5338",1
"508","B2F5339",2
"509","B2F5340",2
"510","B2F5341",2
"511","B2F5342",1
"512","B2F5343",1
"513","B1V5594",1
"514","B1V5485",2
"515","B2V8302",1
"516","B2V8303",1
"517","B2V8304",1
"518","B2V8305",2
"519","B2V8311",2
"520","B2V8312",2
"521","B2V8313",1
"522","B2V8314",1
"523","B1V5499",2
"524","B1V5496",1
"525","B2V8300",1
"526","B2V8416",2
"527","B2V8417",2
"528","B2V8418",1
"529","B2V8419",1
"530","B2V8420",1
"531","B2V8421",1
"532","X06015307",1
"533","B1V5592",1
"534","B1V5388",2
"535","X01015507",1
"536","B2V8306",1
"537","B2V8307",1
"538","B2V8308",2
"539","B2V8309",2
"540","B2V8310",1
"541","B2V8320",1
"542","B2V8321",2
"543","B2V8322",1
"544","B2V8323",2
"545","B1V5386",2
"546","B2V8315",1
"547","B2V8316",1
"548","B2V8317",1
"549","B2V8318",2
"550","B2V8319",2
"551","B2V8324",2
"552","B2V8325",2
"553","B2V8326",2
"554","B2V8327",2
"555","B2V8328",1
"556","B1V5500",2
"557","B1V5488",1
"558","B2V8271",2
"559","B2V8272",1
"560","B2V8273",2
"561","B2V8274",1
"562","B2V8275",2
"563","B2V8276",2
"564","B2V8277",2
"565","B2V8278",1
"566","B1V5589",2
"567","B1V5576",1
"568","B2F5531",1
"569","B2F5532",1
"570","B2F5533",1
"571","B2F5534",1
"572","B2F5535",2
"573","B2F5536",2
"574","B2F5537",1
"575","B2F5538",1
"576","B2F5539",1
"577","B2F5540",2
"578","B1V5051",2
"579","X02016407",2
"580","X03016407",1
"581","X04016407",1
"582","X05016407",1
"583","X06016407",2
"584","X07016407",2
"585","X08016407",2
"586","X09016407",2
"587","X10016407",1
"588","X01016407",2
"589","B1V5553",2
"590","B1V5541",1
"591","B2F5658",1
"592","B2F5659",2
"593","B2F5660",1
"594","B2F5661",2
"595","B2F5662",2
"596","B2F5663",2
"597","B2F5664",2
"598","B2F5665",1
"599","B2F5666",1
"600","B2F5667",2
"601","B2F5668",2
"602","B2F5669",2
"603","B1V5586",1
"604","B1P5985",2
"605","B2V8190",1
"606","B2V8191",1
"607","B2V8192",1
"608","B2V8193",1
"609","B2V8194",2
"610","B2V8195",2
"611","B2V8196",2
"612","B2V8197",2
"613","B2V8198",1
"614","B2V8199",1
"615","B2V8200",1
"616","B1P5971",2
"617","B1V5400",1
"618","X02017307",1
"619","X03017307",1
"620","B2V8361",2
"621","B2V8362",1
"622","B2V8363",2
"623","B2V8364",2
"624","B2V8365",1
"625","B2V8366",1
"626","B2V8367",2
"627","B2V8368",1
"628","B1V5599",2
"629","X02017707",1
"630","B2F5692",2
"631","B2F5693",1
"632","B2F5694",1
"633","B2F5695",1
"634","B2F5696",1
"635","B2F5697",1
"636","B2F5698",2
"637","B2F5699",2
"638","B2F5394",2
"639","B2F5395",1
"640","B2F5396",2
"641","B2F5397",2
"642","B2F5398",2
"643","B2F5399",1
"644","B2F5400",1
"645","B2V8097",2
"646","B2V8098",2
"647","B2V8099",1
"648","B2V8100",2
"649","B1V5543",1
"650","B1P5981",2
"651","B2F5601",1
"652","B2F5602",1
"653","B2F5603",2
"654","B2F5604",2
"655","B2F5605",1
"656","B2F5606",2
"657","B2F5607",2
"658","B2F5608",1
"659","B2F5609",2
"660","B2F5610",2
"661","B2F5611",2
"662","B1V5467",2
"663","B1P5972",1
"664","X03019807",1
"665","X04019807",1
"666","X01019807",2
"667","B2F5495",1
"668","B2F5496",1
"669","B2F5497",1
"670","B2F5498",1
"671","B2F5499",2
"672","B2F5500",1
"673","B2V8301",1
"674","B1V5391",1
"675","B1V5465",2
"676","B2F5485",1
"677","B2F5486",1
"678","B2F5487",2
"679","B2F5488",2
"680","B2F5489",1
"681","B2F5490",1
"682","B2F5491",2
"683","B2F5492",1
"684","B2F5493",1
"685","B2F5494",2
"686","B1V5581",2
"687","B1V5582",1
"688","X01020207",1
"689","X02020207",1
"690","B2F5560",2
"691","B2F5561",2
"692","B2F5562",2
"693","B2F5563",2
"694","B2F5564",2
"695","B2F5565",1
"696","B2F5566",1
"697","B2F5567",2
"698","B2F5568",2
"699","B2F5569",1
"700","B2F5570",2
"701","B2F5571",2
"702","B1V5372",2
"703","B1V5390",1
"704","X01020407",2
"705","X02020407",1
"706","X03020407",1
"707","X04020407",2
"708","X05020407",1
"709","X06020407",1
"710","X07020407",1
"711","X08020407",1
"712","X09020407",1
"713","X10020407",1
"714","X11020407",2
"715","X12020407",1
"716","X13020407",1
"717","B1P5990",2
"718","B1V5486",1
"719","X02020507",1
"720","B2V8369",2
"721","B2V8370",2
"722","B2V8371",2
"723","B2V8372",2
"724","B2V8373",2
"725","B2V8374",1
"726","B2V8375",2
"727","B2V8376",2
"728","B2V8377",2
"729","B1V5389",2
"730","B1V5470",1
"731","B2V8103",1
"732","B2V8104",2
"733","B2V8105",2
"734","B2V8106",2
"735","B2V8107",1
"736","B2V8108",1
"737","B2V8109",2
"738","B2V8110",1
"739","B2V8111",1
"740","B2V8112",2
"741","B2V8113",1
"742","B2V8114",2
"743","X01020807",1
"744","X02020807",2
"745","X03020807",1
"746","X04020807",1
"747","X05020807",1
"748","X01020907",2
"749","X03020907",1
"750","X04020907",2
"751","X05020907",1
"752","X10020907",1
"753","B1V5544",1
"754","B1V5562",2
"755","X01021107",2
"756","B2F5649",2
"757","B2F5650",1
"758","B2F5651",2
"759","B2F5653",1
"760","B2F5654",2
"761","B2F5655",2
"762","B2F5656",2
"763","B1V5477",1
"764","B1V5464",2
"765","B2V8378",1
"766","B2V8379",1
"767","B2V8380",1
"768","B2V8381",2
"769","B2V8382",2
"770","B2V8383",2
"771","B2V8384",1
"772","B2V8385",1
"773","B2V8386",2
"774","B2V8387",2
"775","B1V5563",2
"776","B1V5547",1
"777","X01021607",2
"778","B2F5639",2
"779","B2F5640",1
"780","B2F5641",1
"781","B2F5642",2
"782","B2F5643",1
"783","B2F5644",1
"784","B2F5645",2
"785","B2F5646",2
"786","B2F5647",2
"787","B2F5648",2
"788","B1V5466",2
"789","B1V5392",1
"790","X01021907",2
"791","B2V8132",1
"792","B2V8133",2
"793","B2V8134",2
"794","B2V8135",2
"795","B2V8136",2
"796","B2V8137",1
"797","B2V8138",1
"798","B2V8139",2
"799","B2V8140",2
"800","B1V5566",2
"801","B1V5545",1
"802","X01022007",2
"803","B2F5612",1
"804","B2F5613",2
"805","B2F5614",1
"806","B2F5615",2
"807","B2F5616",1
"808","B2F5617",1
"809","B2F5618",1
"810","B2F5619",1
"811","B2F5620",2
"812","B1V5374",2
"813","B1P5989",1
"814","B2F5476",2
"815","B2F5477",2
"816","B2F5478",2
"817","B2F5479",1
"818","B2F5480",1
"819","B2F5481",1
"820","B2F5482",2
"821","B2F5483",2
"822","B2F5484",2
"823","B2F5700",2
"824","B1V5498",2
"825","B1V5495",1
"826","B2V8422",2
"827","B2V8423",1
"828","B2V8424",2
"829","B2V8425",2
"830","B2V8426",2
"831","B2V8427",1
"832","B1V5394",2
"833","B1V5585",1
"834","B2V8124",1
"835","B2V8125",2
"836","B2V8126",2
"837","B2V8127",2
"838","B2V8128",1
"839","B2V8129",2
"840","B2V8130",2
"841","B2V8131",2
"842","B1V5590",2
"843","B1V5565",1
"844","B2V8238",1
"845","B2V8239",2
"846","B2V8240",1
"847","B2V8241",1
"848","B2V8242",1
"849","B2V8243",1
"850","B2V8244",1
"851","B2V8245",1
"852","B2V8246",1
