"year_","no","box1","box2"
2021,12,53,2
2021,12,266,1
2021,12,266,2
2021,12,265,1
2021,12,265,2
2021,12,267,1
2021,12,267,2
2021,13,268,1
2021,13,268,2
2021,13,269,1
2021,13,269,2
2021,13,274,1
2021,13,274,2
2021,13,275,1
2021,13,275,2
2021,13,170,1
2021,13,170,2
2021,13,276,1
2021,13,276,2
2021,14,47,1
2021,14,47,2
2021,14,277,1
2021,14,277,2
2021,1,1,3
2021,1,1,4
2021,1,2,3
2021,1,2,4
2021,0,3,3
2021,0,3,4
2021,0,4,3
2021,0,4,4
2021,1,5,3
2021,1,5,4
2021,1,6,3
2021,1,6,4
2021,2,7,3
2021,2,7,4
2021,2,8,3
2021,2,8,4
2021,4,9,3
2021,4,9,4
2021,4,10,3
2021,4,10,4
2021,5,11,3
2021,5,11,4
2021,5,25,3
2021,5,25,4
2021,5,12,3
2021,5,12,4
2021,5,13,3
2021,5,13,4
2021,7,14,3
2021,7,14,4
2021,7,15,3
2021,7,15,4
2021,8,16,3
2021,8,16,4
2021,8,17,3
2021,8,17,4
2021,9,18,3
2021,9,18,4
2021,9,19,3
2021,9,19,4
2021,7,20,3
2021,7,20,4
2021,7,21,3
2021,7,21,4
2021,6,23,3
2021,6,23,4
2021,6,24,3
2021,6,24,4
2021,3,27,3
2021,3,27,4
2021,3,28,3
2021,3,28,4
2021,2,29,3
2021,2,29,4
2021,2,30,3
2021,2,30,4
2021,2,31,3
2021,2,31,4
2021,2,114,3
2021,2,114,4
2021,1,32,3
2021,1,32,4
2021,1,33,3
2021,1,33,4
2021,1,34,3
2021,1,34,4
2021,1,37,3
2021,1,37,4
2021,2,35,3
2021,2,35,4
2021,2,58,3
2021,2,58,4
2021,2,36,3
2021,2,36,4
2021,2,66,3
2021,2,66,4
2021,1,38,3
2021,1,38,4
2021,1,39,3
2021,1,39,4
2021,3,41,3
2021,3,41,4
2021,3,42,3
2021,3,42,4
2021,4,43,3
2021,4,43,4
2021,4,45,3
2021,4,45,4
2021,4,26,3
2021,4,26,4
2021,4,44,3
2021,4,44,4
2021,5,46,3
2021,5,46,4
2021,5,57,3
2021,5,57,4
2021,6,48,3
2021,6,48,4
2021,6,54,3
2021,6,54,4
2021,7,49,3
2021,7,49,4
2021,7,50,3
2021,7,50,4
2021,8,52,3
2021,8,52,4
2021,8,82,3
2021,8,82,4
2021,6,55,3
2021,6,55,4
2021,6,56,3
2021,6,56,4
2021,3,61,3
2021,3,61,4
2021,3,62,3
2021,3,62,4
2021,2,40,3
2021,2,40,4
2021,2,63,3
2021,2,63,4
2021,2,64,3
2021,2,64,4
2021,2,65,3
2021,2,65,4
2021,2,67,3
2021,2,67,4
2021,2,68,3
2021,2,68,4
2021,3,69,3
2021,3,69,4
2021,3,70,3
2021,3,70,4
2021,3,71,3
2021,3,71,4
2021,3,72,3
2021,3,72,4
2021,4,60,3
2021,4,60,4
2021,4,73,3
2021,4,73,4
2021,5,59,3
2021,5,59,4
2021,5,74,3
2021,5,74,4
2021,5,75,3
2021,5,75,4
2021,5,89,3
2021,5,89,4
2021,5,76,3
2021,5,76,4
2021,5,88,3
2021,5,88,4
2021,6,77,3
2021,6,77,4
2021,6,87,3
2021,6,87,4
2021,6,78,3
2021,6,78,4
2021,6,79,3
2021,6,79,4
2021,7,80,3
2021,7,80,4
2021,7,84,3
2021,7,84,4
2021,8,81,3
2021,8,81,4
2021,8,83,3
2021,8,83,4
2021,7,85,3
2021,7,85,4
2021,7,86,3
2021,7,86,4
2021,3,95,3
2021,3,95,4
2021,3,96,3
2021,3,96,4
2021,4,98,3
2021,4,98,4
2021,4,99,3
2021,4,99,4
2021,4,94,3
2021,4,94,4
2021,4,100,3
2021,4,100,4
2021,4,93,3
2021,4,93,4
2021,4,101,3
2021,4,101,4
2021,4,92,3
2021,4,92,4
2021,4,102,3
2021,4,102,4
2021,5,103,3
2021,5,103,4
2021,5,104,3
2021,5,104,4
2021,6,106,3
2021,6,106,4
2021,6,107,3
2021,6,107,4
2021,7,108,3
2021,7,108,4
2021,7,109,3
2021,7,109,4
2021,8,110,3
2021,8,110,4
2021,8,111,3
2021,8,111,4
2021,8,112,3
2021,8,112,4
2021,8,113,3
2021,8,113,4
2021,7,115,3
2021,7,115,4
2021,7,116,3
2021,7,116,4
2021,6,119,3
2021,6,119,4
2021,6,120,3
2021,6,120,4
2021,5,122,3
2021,5,122,4
2021,5,123,3
2021,5,123,4
2021,4,124,3
2021,4,124,4
2021,4,125,3
2021,4,125,4
2021,5,126,3
2021,5,126,4
2021,5,127,3
2021,5,127,4
2021,5,128,3
2021,5,128,4
2021,5,129,3
2021,5,129,4
2021,6,130,3
2021,6,130,4
2021,6,131,3
2021,6,131,4
2021,7,132,3
2021,7,132,4
2021,7,133,3
2021,7,133,4
2021,7,117,3
2021,7,117,4
2021,7,134,3
2021,7,134,4
2021,8,135,3
2021,8,135,4
2021,8,136,3
2021,8,136,4
2021,9,137,3
2021,9,137,4
2021,9,138,3
2021,9,138,4
2021,9,139,3
2021,9,139,4
2021,9,140,3
2021,9,140,4
2021,8,141,3
2021,8,141,4
2021,8,142,3
2021,8,142,4
2021,7,144,3
2021,7,144,4
2021,7,145,3
2021,7,145,4
2021,7,146,3
2021,7,146,4
2021,7,147,3
2021,7,147,4
2021,6,149,3
2021,6,149,4
2021,6,150,3
2021,6,150,4
2021,5,151,3
2021,5,151,4
2021,5,152,3
2021,5,152,4
2021,5,153,3
2021,5,153,4
2021,5,154,3
2021,5,154,4
2021,7,155,3
2021,7,155,4
2021,7,175,3
2021,7,175,4
2021,6,121,3
2021,6,121,4
2021,6,156,3
2021,6,156,4
2021,7,148,3
2021,7,148,4
2021,7,157,3
2021,7,157,4
2021,8,158,3
2021,8,158,4
2021,8,172,3
2021,8,172,4
2021,8,159,3
2021,8,159,4
2021,8,160,3
2021,8,160,4
2021,8,161,3
2021,8,161,4
2021,8,169,3
2021,8,169,4
2021,8,143,3
2021,8,143,4
2021,8,162,3
2021,8,162,4
2021,9,163,3
2021,9,163,4
2021,9,164,3
2021,9,164,4
2021,10,165,3
2021,10,165,4
2021,10,166,3
2021,10,166,4
2021,9,167,3
2021,9,167,4
2021,9,168,3
2021,9,168,4
2021,6,176,3
2021,6,176,4
2021,6,177,3
2021,6,177,4
2021,7,178,3
2021,7,178,4
2021,7,179,3
2021,7,179,4
2021,7,174,3
2021,7,174,4
2021,7,180,3
2021,7,180,4
2021,8,181,3
2021,8,181,4
2021,8,197,3
2021,8,197,4
2021,8,173,3
2021,8,173,4
2021,8,182,3
2021,8,182,4
2021,9,183,3
2021,9,183,4
2021,9,196,3
2021,9,196,4
2021,9,184,3
2021,9,184,4
2021,9,185,3
2021,9,185,4
2021,9,186,3
2021,9,186,4
2021,9,187,3
2021,9,187,4
2021,10,188,3
2021,10,188,4
2021,10,189,3
2021,10,189,4
2021,10,190,3
2021,10,190,4
2021,10,191,3
2021,10,191,4
2021,10,192,3
2021,10,192,4
2021,10,193,3
2021,10,193,4
2021,10,194,3
2021,10,194,4
2021,10,195,3
2021,10,195,4
2021,8,198,3
2021,8,198,4
2021,8,199,3
2021,8,199,4
2021,8,105,3
2021,8,105,4
2021,8,200,3
2021,8,200,4
2021,8,118,3
2021,8,118,4
2021,8,201,3
2021,8,201,4
2021,9,204,3
2021,9,204,4
2021,9,205,3
2021,9,205,4
2021,9,206,3
2021,9,206,4
2021,9,207,3
2021,9,207,4
2021,11,208,3
2021,11,208,4
2021,11,209,3
2021,11,209,4
2021,10,210,3
2021,10,210,4
2021,10,211,3
2021,10,211,4
2021,11,212,3
2021,11,212,4
2021,11,213,3
2021,11,213,4
2021,11,214,3
2021,11,214,4
2021,11,215,3
2021,11,215,4
2021,11,216,3
2021,11,216,4
2021,11,217,3
2021,11,217,4
2021,10,219,3
2021,10,219,4
2021,10,220,3
2021,10,220,4
2021,10,221,3
2021,10,221,4
2021,10,222,3
2021,10,222,4
2021,9,203,3
2021,9,203,4
2021,9,223,3
2021,9,223,4
2021,9,202,3
2021,9,202,4
2021,9,224,3
2021,9,224,4
2021,10,51,3
2021,10,51,4
2021,10,225,3
2021,10,225,4
2021,10,90,3
2021,10,90,4
2021,10,226,3
2021,10,226,4
2021,10,227,3
2021,10,227,4
2021,10,228,3
2021,10,228,4
2021,10,229,3
2021,10,229,4
2021,10,230,3
2021,10,230,4
2021,11,218,3
2021,11,218,4
2021,11,231,3
2021,11,231,4
2021,12,233,3
2021,12,233,4
2021,12,234,3
2021,12,234,4
2021,12,235,3
2021,12,235,4
2021,12,236,3
2021,12,236,4
2021,12,232,3
2021,12,232,4
2021,12,238,3
2021,12,238,4
2021,12,239,3
2021,12,239,4
2021,12,240,3
2021,12,240,4
2021,11,242,3
2021,11,242,4
2021,11,243,3
2021,11,243,4
2021,10,171,3
2021,10,171,4
2021,10,244,3
2021,10,244,4
2021,10,22,3
2021,10,22,4
2021,10,245,3
2021,10,245,4
2021,11,91,3
2021,11,91,4
2021,11,246,3
2021,11,246,4
2021,11,247,3
2021,11,247,4
2021,11,248,3
2021,11,248,4
2021,11,250,3
2021,11,250,4
2021,11,251,3
2021,11,251,4
2021,12,241,3
2021,12,241,4
2021,12,252,3
2021,12,252,4
2021,13,253,3
2021,13,253,4
2021,13,254,3
2021,13,254,4
2021,13,237,3
2021,13,237,4
2021,13,255,3
2021,13,255,4
2021,14,256,3
2021,14,256,4
2021,14,257,3
2021,14,257,4
2021,13,258,3
2021,13,258,4
2021,13,259,3
2021,13,259,4
2021,12,260,3
2021,12,260,4
2021,12,261,3
2021,12,261,4
2021,12,249,3
2021,12,249,4
2021,12,262,3
2021,12,262,4
2021,12,263,3
2021,12,263,4
2021,12,264,3
2021,12,264,4
2021,12,53,3
2021,12,53,4
2021,12,266,3
2021,12,266,4
2021,12,265,3
2021,12,265,4
2021,12,267,3
2021,12,267,4
2021,13,268,3
2021,13,268,4
2021,13,269,3
2021,13,269,4
2021,14,270,3
2021,14,270,4
2021,14,271,3
2021,14,271,4
2021,13,274,3
2021,13,274,4
2021,13,275,3
2021,13,275,4
2021,13,170,3
2021,13,170,4
2021,13,276,3
2021,13,276,4
2021,14,47,3
2021,14,47,4
2021,14,277,3
2021,14,277,4
2021,2,1,5
2021,2,1,6
2021,2,2,5
2021,2,2,6
2021,1,3,5
2021,1,3,6
2021,1,4,5
2021,1,4,6
2021,0,5,5
2021,0,5,6
2021,0,6,5
2021,0,6,6
2021,1,7,5
2021,1,7,6
2021,1,8,5
2021,1,8,6
2021,3,9,5
2021,3,9,6
2021,3,10,5
2021,3,10,6
2021,4,11,5
2021,4,11,6
2021,4,25,5
2021,4,25,6
2021,4,12,5
2021,4,12,6
2021,4,13,5
2021,4,13,6
2021,6,14,5
2021,6,14,6
2021,6,15,5
2021,6,15,6
2021,7,16,5
2021,7,16,6
2021,7,17,5
2021,7,17,6
2021,8,18,5
2021,8,18,6
2021,8,19,5
2021,8,19,6
2021,6,20,5
2021,6,20,6
2021,6,21,5
2021,6,21,6
2021,5,23,5
2021,5,23,6
2021,5,24,5
2021,5,24,6
2021,2,27,5
2021,2,27,6
2021,2,28,5
2021,2,28,6
2021,1,29,5
2021,1,29,6
2021,1,30,5
2021,1,30,6
2021,1,31,5
2021,1,31,6
2021,1,114,5
2021,1,114,6
2021,1,32,5
2021,1,32,6
2021,1,33,5
2021,1,33,6
2021,2,34,5
2021,2,34,6
2021,2,37,5
2021,2,37,6
2021,3,35,5
2021,3,35,6
2021,3,58,5
2021,3,58,6
2021,3,36,5
2021,3,36,6
2021,3,66,5
2021,3,66,6
2021,2,38,5
2021,2,38,6
2021,2,39,5
2021,2,39,6
2021,2,41,5
2021,2,41,6
2021,2,42,5
2021,2,42,6
2021,3,43,5
2021,3,43,6
2021,3,45,5
2021,3,45,6
2021,3,26,5
2021,3,26,6
2021,3,44,5
2021,3,44,6
2021,4,46,5
2021,4,46,6
2021,4,57,5
2021,4,57,6
2021,5,48,5
2021,5,48,6
2021,5,54,5
2021,5,54,6
2021,6,49,5
2021,6,49,6
2021,6,50,5
2021,6,50,6
2021,7,52,5
2021,7,52,6
2021,7,82,5
2021,7,82,6
2021,5,55,5
2021,5,55,6
2021,5,56,5
2021,5,56,6
2021,2,61,5
2021,2,61,6
2021,2,62,5
2021,2,62,6
2021,2,40,5
2021,2,40,6
2021,2,63,5
2021,2,63,6
2021,3,64,5
2021,3,64,6
2021,3,65,5
2021,3,65,6
2021,3,67,5
2021,3,67,6
2021,3,68,5
2021,3,68,6
2021,3,69,5
2021,3,69,6
2021,3,70,5
2021,3,70,6
2021,3,71,5
2021,3,71,6
2021,3,72,5
2021,3,72,6
2021,3,60,5
2021,3,60,6
2021,3,73,5
2021,3,73,6
2021,4,59,5
2021,4,59,6
2021,4,74,5
2021,4,74,6
2021,4,75,5
2021,4,75,6
2021,4,89,5
2021,4,89,6
2021,4,76,5
2021,4,76,6
2021,4,88,5
2021,4,88,6
2021,5,77,5
2021,5,77,6
2021,5,87,5
2021,5,87,6
2021,5,78,5
2021,5,78,6
2021,5,79,5
2021,5,79,6
2021,6,80,5
2021,6,80,6
2021,6,84,5
2021,6,84,6
2021,7,81,5
2021,7,81,6
2021,7,83,5
2021,7,83,6
2021,6,85,5
2021,6,85,6
2021,6,86,5
2021,6,86,6
2021,4,95,5
2021,4,95,6
2021,4,96,5
2021,4,96,6
2021,5,98,5
2021,5,98,6
2021,5,99,5
2021,5,99,6
2021,4,94,5
2021,4,94,6
2021,4,100,5
2021,4,100,6
2021,4,93,5
2021,4,93,6
2021,4,101,5
2021,4,101,6
2021,4,92,5
2021,4,92,6
2021,4,102,5
2021,4,102,6
2021,4,103,5
2021,4,103,6
2021,4,104,5
2021,4,104,6
2021,5,106,5
2021,5,106,6
2021,5,107,5
2021,5,107,6
2021,6,108,5
2021,6,108,6
2021,6,109,5
2021,6,109,6
2021,7,110,5
2021,7,110,6
2021,7,111,5
2021,7,111,6
2021,7,112,5
2021,7,112,6
2021,7,113,5
2021,7,113,6
2021,6,115,5
2021,6,115,6
2021,6,116,5
2021,6,116,6
2021,5,119,5
2021,5,119,6
2021,5,120,5
2021,5,120,6
2021,5,122,5
2021,5,122,6
2021,5,123,5
2021,5,123,6
2021,5,124,5
2021,5,124,6
2021,5,125,5
2021,5,125,6
2021,6,126,5
2021,6,126,6
2021,6,127,5
2021,6,127,6
2021,5,128,5
2021,5,128,6
2021,5,129,5
2021,5,129,6
2021,6,130,5
2021,6,130,6
2021,6,131,5
2021,6,131,6
2021,6,132,5
2021,6,132,6
2021,6,133,5
2021,6,133,6
2021,6,117,5
2021,6,117,6
2021,6,134,5
2021,6,134,6
2021,7,135,5
2021,7,135,6
2021,7,136,5
2021,7,136,6
2021,8,137,5
2021,8,137,6
2021,8,138,5
2021,8,138,6
2021,8,139,5
2021,8,139,6
2021,8,140,5
2021,8,140,6
2021,7,141,5
2021,7,141,6
2021,7,142,5
2021,7,142,6
2021,6,144,5
2021,6,144,6
2021,6,145,5
2021,6,145,6
2021,6,146,5
2021,6,146,6
2021,6,147,5
2021,6,147,6
2021,6,149,5
2021,6,149,6
2021,6,150,5
2021,6,150,6
2021,6,151,5
2021,6,151,6
2021,6,152,5
2021,6,152,6
2021,6,153,5
2021,6,153,6
2021,6,154,5
2021,6,154,6
2021,7,155,5
2021,7,155,6
2021,7,175,5
2021,7,175,6
2021,6,121,5
2021,6,121,6
2021,6,156,5
2021,6,156,6
2021,7,148,5
2021,7,148,6
2021,7,157,5
2021,7,157,6
2021,7,158,5
2021,7,158,6
2021,7,172,5
2021,7,172,6
2021,7,159,5
2021,7,159,6
2021,7,160,5
2021,7,160,6
2021,7,161,5
2021,7,161,6
2021,7,169,5
2021,7,169,6
2021,7,143,5
2021,7,143,6
2021,7,162,5
2021,7,162,6
2021,8,163,5
2021,8,163,6
2021,8,164,5
2021,8,164,6
2021,9,165,5
2021,9,165,6
2021,9,166,5
2021,9,166,6
2021,8,167,5
2021,8,167,6
2021,8,168,5
2021,8,168,6
2021,7,176,5
2021,7,176,6
2021,7,177,5
2021,7,177,6
2021,8,178,5
2021,8,178,6
2021,8,179,5
2021,8,179,6
2021,7,174,5
2021,7,174,6
2021,7,180,5
2021,7,180,6
2021,8,181,5
2021,8,181,6
2021,8,197,5
2021,8,197,6
2021,8,173,5
2021,8,173,6
2021,8,182,5
2021,8,182,6
2021,8,183,5
2021,8,183,6
2021,8,196,5
2021,8,196,6
2021,8,184,5
2021,8,184,6
2021,8,185,5
2021,8,185,6
2021,8,186,5
2021,8,186,6
2021,8,187,5
2021,8,187,6
2021,9,188,5
2021,9,188,6
2021,9,189,5
2021,9,189,6
2021,9,190,5
2021,9,190,6
2021,9,191,5
2021,9,191,6
2021,9,192,5
2021,9,192,6
2021,9,193,5
2021,9,193,6
2021,9,194,5
2021,9,194,6
2021,9,195,5
2021,9,195,6
2021,8,198,5
2021,8,198,6
2021,8,199,5
2021,8,199,6
2021,8,105,5
2021,8,105,6
2021,8,200,5
2021,8,200,6
2021,9,118,5
2021,9,118,6
2021,9,201,5
2021,9,201,6
2021,9,204,5
2021,9,204,6
2021,9,205,5
2021,9,205,6
2021,9,206,5
2021,9,206,6
2021,9,207,5
2021,9,207,6
2021,10,208,5
2021,10,208,6
2021,10,209,5
2021,10,209,6
2021,9,210,5
2021,9,210,6
2021,9,211,5
2021,9,211,6
2021,10,212,5
2021,10,212,6
2021,10,213,5
2021,10,213,6
2021,10,214,5
2021,10,214,6
2021,10,215,5
2021,10,215,6
2021,10,216,5
2021,10,216,6
2021,10,217,5
2021,10,217,6
2021,10,219,5
2021,10,219,6
2021,10,220,5
2021,10,220,6
2021,10,221,5
2021,10,221,6
2021,10,222,5
2021,10,222,6
2021,9,203,5
2021,9,203,6
2021,9,223,5
2021,9,223,6
2021,9,202,5
2021,9,202,6
2021,9,224,5
2021,9,224,6
2021,10,51,5
2021,10,51,6
2021,10,225,5
2021,10,225,6
2021,10,90,5
2021,10,90,6
2021,10,226,5
2021,10,226,6
2021,10,227,5
2021,10,227,6
2021,10,228,5
2021,10,228,6
2021,10,229,5
2021,10,229,6
2021,10,230,5
2021,10,230,6
2021,11,218,5
2021,11,218,6
2021,11,231,5
2021,11,231,6
2021,11,233,5
2021,11,233,6
2021,11,234,5
2021,11,234,6
2021,11,235,5
2021,11,235,6
2021,11,236,5
2021,11,236,6
2021,12,232,5
2021,12,232,6
2021,12,238,5
2021,12,238,6
2021,12,239,5
